records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,capacitity_moist,temp,moist,ec_(u/10_gram),ph,nitro_(mg/10_g),posh_nitro_(mg/10_g),pota_nitro_(mg/10_g),Soil Health,Soil_Type,ML,Test_Case
0,84,23,58,2,41,65,25,39,43,44,96,22,8,7,16,16,6,2,328,36.1,0,0,7.88,0,0,0,Poor,100,0,0
0,78,23,57,56,39,44,15,25,35,34,0,20,7,7,19,29,6,2,339,38.2,0,0,7.6,0,0,0,Poor,100,0,11
1,82,23,58,58,41,46,21,33,33,44,97,21,7,6,16,9,7,2,327,36.1,0,0,8.02,0,0,0,Poor,100,0,13
1,77,23,58,57,40,48,16,26,38,34,0,20,7,7,19,30,7,2,325,38.2,0,0,7.52,0,0,0,Poor,100,0,14
2,84,23,58,57,41,48,21,33,34,44,96,21,7,6,16,9,6,2,326,36.1,0,0,7.88,0,0,0,Poor,100,0,15
2,78,23,58,56,40,44,15,25,36,34,0,20,7,7,19,36,6,2,342,38.2,0,0,7.6,0,0,0,Poor,100,0,16
3,83,23,58,1,41,63,25,39,42,44,97,22,8,7,16,16,6,2,334,36.1,0,0,7.88,0,0,0,Poor,100,0,17
3,78,23,58,58,39,47,16,26,37,34,0,20,7,7,19,30,6,2,342,38.2,0,0,7.6,0,0,0,Poor,100,0,18
4,82,22,58,55,41,41,19,31,31,44,91,20,6,6,16,7,7,1,325,36.1,0,0,8.07,0,0,0,Poor,100,0,19
4,78,24,58,58,40,48,16,27,38,34,0,20,7,7,19,37,6,2,343,38.2,0,0,7.56,0,0,0,Poor,100,0,1
5,82,22,58,57,41,48,21,33,34,44,97,21,7,6,16,10,6,2,324,36.1,0,0,8.07,0,0,0,Poor,100,0,2
5,77,23,57,56,39,48,16,26,38,34,0,20,7,7,19,30,6,2,358,38.2,0,0,7.56,0,0,0,Poor,100,0,3
6,83,22,58,56,41,45,21,33,33,44,96,21,6,6,16,9,7,2,336,36.1,0,0,8.07,0,0,0,Poor,100,0,4
6,77,23,57,56,39,47,15,26,37,34,1,20,7,7,19,30,6,1,343,38.2,0,0,7.56,0,0,0,Poor,100,0,5
7,83,23,58,54,41,41,19,31,31,44,91,20,6,5,16,7,6,1,325,36.1,0,0,8.07,0,0,0,Poor,100,0,6
7,77,23,58,53,39,40,14,24,34,34,104,19,6,7,19,27,6,1,335,38.2,0,0,7.52,0,0,0,Poor,100,0,7
8,82,23,58,54,41,41,19,31,31,44,91,20,6,5,16,8,7,1,328,36.1,0,0,8.02,0,0,0,Poor,100,0,8
8,77,23,57,56,39,47,15,26,37,34,1,20,7,7,19,29,6,1,326,38.2,0,0,7.52,0,0,0,Poor,100,0,9
9,82,22,58,57,41,46,21,34,33,44,96,21,7,6,16,9,7,2,327,36.1,0,0,8.02,0,0,0,Poor,100,0,10
9,77,23,57,53,40,39,14,24,33,34,104,19,6,6,19,27,7,1,341,38.2,0,0,7.52,0,0,0,Poor,100,0,12
10,18,4,9,43,6,17,7,12,144,13,68,15,2,2,5,132,2,1,286,36.1,0,0,8.02,0,0,0,Poor,100,25,20
10,37,10,19,48,14,27,8,13,1,12,76,16,3,3,6,134,3,1,76,38.2,16,23,7.74,4,5,8,Moderate,100,25,31
11,18,4,8,46,6,24,9,14,147,13,73,16,2,3,5,134,2,1,294,36.1,198,31,7.87,4,5,10,Poor,100,25,33
11,35,10,19,47,14,26,9,14,0,12,77,16,3,3,6,133,3,1,80,38.2,14,26,7.88,4,5,9,Moderate,100,25,34
12,18,4,9,43,6,16,7,12,144,13,68,15,2,2,5,133,2,1,297,36.1,194,30,7.74,4,5,10,Poor,100,25,35
12,37,10,18,47,15,25,8,13,0,12,76,16,3,3,6,134,3,1,128,38.2,14,24,7.74,4,5,8,Moderate,100,25,36
13,18,4,9,46,6,23,8,13,146,13,73,16,2,3,5,134,2,1,298,36.1,196,31,7.74,4,5,10,Poor,100,25,37
13,36,10,19,40,15,10,5,8,142,13,76,14,2,2,6,129,3,1,86,38.2,17,24,6.96,4,5,8,Moderate,100,25,38
14,17,4,8,45,6,21,9,13,145,13,72,16,2,3,6,133,2,1,298,36.1,196,31,7.74,4,5,10,Poor,100,25,39
14,36,10,19,48,15,28,9,14,1,13,76,16,3,3,6,134,3,1,150,38.2,17,25,6.96,4,5,9,Moderate,100,25,21
15,17,4,8,45,6,20,8,13,145,13,73,16,2,3,5,133,2,1,278,36.1,196,30,7.92,4,5,10,Poor,100,25,22
15,36,10,19,42,14,10,5,9,142,13,76,15,2,2,6,129,3,1,109,38.2,15,25,6.96,4,5,9,Moderate,100,25,23
16,17,4,8,46,6,22,8,13,146,13,73,16,2,3,5,134,2,1,294,36.1,197,31,7.92,4,5,10,Poor,100,25,24
16,36,10,19,55,14,43,12,18,8,12,76,17,4,5,6,138,3,1,106,38.2,15,25,6.96,4,5,9,Moderate,100,25,25
17,17,4,8,46,6,23,9,13,146,13,73,16,2,3,5,134,2,1,275,36.1,197,31,7.92,4,5,10,Poor,100,25,26
17,35,10,18,47,14,26,9,14,0,11,76,16,3,3,6,133,3,1,116,38.2,14,25,7.47,4,5,9,Moderate,100,25,27
18,17,4,8,45,6,20,8,13,145,13,73,16,2,3,5,133,2,1,305,36.1,198,31,7.92,4,5,10,Poor,100,25,28
